"","ID_INDIVIDU","POSTE","MOIS_NAISSANCE","NATIONALITE","DATE_NAISSANCE","CF_AGREE","POLE_ESPOIR","exp_avant_16","NB_BUT_PAR_MIN_JOUE_PAR_SAISON_AVANT_16","NB_MIN_JOUE_PAR_MATCH_PAR_SAISON_AVANT_16","NB_CLUB_AVANT_16","TOP_50_AVANT_16","TOP_50_150_AVANT_16","top_restant_AVANT_16","exp_avant_17","NB_BUT_PAR_MIN_JOUE_PAR_SAISON_AVANT_17","NB_MIN_JOUE_PAR_MATCH_PAR_SAISON_AVANT_17","NB_CLUB_AVANT_17","TOP_50_AVANT_17","TOP_50_150_AVANT_17","top_restant_AVANT_17","exp_avant_18","IN_NO_F2K","Anthropometrie","Detente_horizontale","Vitesse_lineaire","Vivacite","Jeux_reduits","Match","Conduite_de_balle","Gardiens_de_but","Jonglerie_en_mouvement","Vitesse_max_aerobie","NB_BUT_PAR_MIN_JOUE_PAR_SAISON_AVANT_18","NB_MIN_JOUE_PAR_MATCH_PAR_SAISON_AVANT_18","NB_CLUB_AVANT_18","TOP_50_AVANT_18","TOP_50_150_AVANT_18","top_restant_AVANT_18","exp_avant_19","NB_BUT_PAR_MIN_JOUE_PAR_SAISON_AVANT_19","NB_MIN_JOUE_PAR_MATCH_PAR_SAISON_AVANT_19","NB_CLUB_AVANT_19","TOP_50_AVANT_19","TOP_50_150_AVANT_19","top_restant_AVANT_19","exp_avant_20","NB_BUT_PAR_MIN_JOUE_PAR_SAISON_AVANT_20","NB_MIN_JOUE_PAR_MATCH_PAR_SAISON_AVANT_20","NB_CLUB_AVANT_20","TOP_50_AVANT_20","TOP_50_150_AVANT_20","top_restant_AVANT_20","exp_avant_21","NB_BUT_PAR_MIN_JOUE_PAR_SAISON_AVANT_21","NB_MIN_JOUE_PAR_MATCH_PAR_SAISON_AVANT_21","NB_CLUB_AVANT_21","TOP_50_AVANT_21","TOP_50_150_AVANT_21","top_restant_AVANT_21","exp","NB_BUT_PAR_MIN_JOUE_PAR_SAISON","NB_MIN_JOUE_PAR_MATCH_PAR_SAISON","NB_CLUB","TOP_50","TOP_50_150","top_restant","NB_PALMARES_AVANT_16","NB_PALMARES_AVANT_17","NB_PALMARES_AVANT_18","NB_PALMARES_AVANT_19","NB_PALMARES_AVANT_20","NB_PALMARES_AVANT_21","NB_PALMARES","France U16","France U17","France U18","France U19","France U20","France U21","U16_NB_BUT","U16_NB_MATCH_JOUE","U16_NB_MIN_JOUE","U16_TITULARISATION","U17_NB_BUT","U17_NB_MATCH_JOUE","U17_NB_MIN_JOUE","U17_TITULARISATION","U18_NB_BUT","U18_NB_MATCH_JOUE","U18_NB_MIN_JOUE","U18_TITULARISATION","U19_NB_BUT","U19_NB_MATCH_JOUE","U19_NB_MIN_JOUE","U19_TITULARISATION","U20_NB_BUT","U20_NB_MATCH_JOUE","U20_NB_MIN_JOUE","U20_TITULARISATION","U21_NB_BUT","U21_NB_MATCH_JOUE","U21_NB_MIN_JOUE","U21_TITULARISATION"
"496",2115,"Attaquant",3,"Cote d'ivoire","1996-03-26T00:00:00.000Z","CFM - CENTRE DE FORMATION A.S. ST ETIENNE","PEM - PEM REIMS",0,NA,NA,NA,"inconnu","inconnu","inconnu",0,NA,NA,NA,"inconnu","inconnu","inconnu",0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,1,"0","0","1",0,0,12.38,1,"0","0","1",1,0.00112,19.9,3,"0","0","1",1,0.00084,16.4,3,"0","0","1",1,0.00023,7.55,5,"1","0","1",0,1,1,1,1,1,1,1,0,1,0,1,1,NA,2,180,2,NA,NA,NA,NA,2,3,190,3,NA,NA,NA,NA,2,7,366,3,6,21,1363,16
"497",2116,"Milieu",2,"France","2005-02-23T00:00:00.000Z","CFM - CENTRE DE FORMATION ST DE REIMS","aucun",0,0.00024,14.63,1,"0","0","1",0,0.00025,11.87,1,"0","0","1",0,9603108502,11.94,11.69,15.12,11.69,14.91,14.91,18.29,11.69,11.69,11.69,0.00025,11.87,1,"0","0","1",0,0.00025,11.87,1,"0","0","1",0,0.00025,11.87,1,"0","0","1",0,0.00025,11.87,1,"0","0","1",1,0.00025,11.87,1,"0","0","1",0,0,0,0,0,0,0,0,1,1,0,0,0,NA,NA,NA,NA,2,14,823,8,NA,6,397,4,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"498",2118,"Attaquant",10,"France","1999-10-28T00:00:00.000Z","CFM - CENTRE DE FORMATION ST DE REIMS","aucun",0,NA,NA,NA,"inconnu","inconnu","inconnu",0,0.00196,81.6,2,"0","0","1",0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0.00085,36.71,2,"0","0","1",0,0.00093,23.92,2,"0","0","1",0,0.00064,17.21,3,"1","0","1",0,0.00056,14.05,4,"1","0","1",0,0.00046,9.23,7,"1","0","1",0,0,0,0,0,0,0,1,0,0,0,0,0,3,11,582,7,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"499",2120,"Gardien de But",8,"France","1998-08-04T00:00:00.000Z","CFM - CENTRE DE FORMATION VALENCIENNES F.C.","aucun",0,NA,NA,NA,"inconnu","inconnu","inconnu",0,NA,NA,NA,"inconnu","inconnu","inconnu",0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0,78.75,1,"0","0","1",0,0,37.87,1,"0","0","1",0,0,21.52,2,"0","0","1",0,0,12.29,2,"0","0","1",0,1e-05,7.77,3,"0","0","1",0,1,1,1,1,1,1,0,1,0,1,0,0,NA,NA,NA,NA,NA,1,49,NA,NA,NA,NA,NA,NA,2,93,NA,NA,NA,NA,NA,NA,NA,NA,NA
"500",2123,"Milieu",4,"France","2004-04-06T00:00:00.000Z","CFM - CENTRE DE FORMATION O. DE LYON ET DU RHONE","aucun",0,0.00012,20.23,3,"1","0","0",0,0.00021,15.77,3,"1","0","0",0,9602705848,14.63,16.8,16.73,16.8,16.64,16.64,16.73,16.8,16.8,16.48,0.00021,11.74,3,"1","0","0",0,0.00019,9.63,3,"1","0","0",0,0.00019,9.63,3,"1","0","0",0,0.00019,9.63,3,"1","0","0",0,0.00019,9.63,3,"1","0","0",0,0,0,0,0,0,0,1,0,1,1,1,-1,1,7,379,4,NA,NA,NA,NA,NA,1,83,1,NA,1,14,NA,1,2,88,1,NA,NA,NA,NA
"501",2125,"Attaquant",7,"France","2001-07-05T00:00:00.000Z","CFM - CENTRE DE FORMATION O. DE LYON ET DU RHONE","aucun",0,0.00042,33.93,1,"1","0","0",0,0.00038,20.73,2,"1","0","0",0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0.00034,16.41,2,"1","0","0",0,0.00029,12.95,2,"1","0","0",0,0.00029,12.95,2,"1","0","0",0,0.00022,10.04,4,"1","0","1",1,0.00027,8.77,5,"1","0","1",0,0,0,0,0,0,0,0,0,1,0,0,0,NA,NA,NA,NA,NA,NA,NA,NA,NA,3,178,2,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"502",2133,"Attaquant",1,"France","2002-01-20T00:00:00.000Z","aucun","aucun",0,0.00224,33.26,1,"1","0","0",0,0.00238,22.34,2,"1","0","0",0,2548323854,13.5,14.43,14.71,14.43,14.71,14.71,14.89,14.52,14.52,13.02,0.00171,14.28,3,"1","1","0",0,0.00133,11.47,3,"1","1","0",0,0.00099,9.59,4,"1","1","0",0,0.00083,8.39,4,"1","1","0",0,0.00083,8.39,4,"1","1","0",0,2,2,2,2,2,2,1,0,1,0,0,1,1,3,122,1,NA,NA,NA,NA,9,12,671,8,NA,NA,NA,NA,NA,NA,NA,NA,8,28,1491,19
"503",2139,"Gardien de But",3,"France","2005-03-04T00:00:00.000Z","CFM - CENTRE DE FORMATION F.C. METZ","aucun",0,0,14.35,2,"0","0","1",0,0,12,2,"0","0","1",0,2546993359,9.36,10.8,6.54,10.8,15.04,15.04,NA,6.54,6.54,10.8,0,10.27,2,"0","0","1",0,0,10.27,2,"0","0","1",0,0,10.27,2,"0","0","1",0,0,10.27,2,"0","0","1",0,0,10.27,2,"0","0","1",0,0,0,0,0,0,0,0,1,1,1,-1,-1,NA,NA,NA,NA,NA,NA,0,NA,NA,1,90,1,NA,1,90,1,NA,NA,NA,NA,NA,NA,NA,NA
"504",2160,"Attaquant",1,"France","2003-01-03T00:00:00.000Z","CFM - CENTRE DE FORMATION F.C. SOCHAUX MONTBELIARD","PEM - PEM CLAIREFONTAINE",0,0.00131,22.5,2,"0","0","1",0,0.001,14.77,2,"0","0","1",0,2545550726,11.88,10.01,6.3,10.01,8.69,8.69,6.3,10.01,10.01,12.97,9e-04,10.03,2,"0","0","1",0,0.00077,7.19,3,"1","0","1",0,6e-04,6.03,4,"1","0","1",0,6e-04,6.03,4,"1","0","1",0,6e-04,6.03,4,"1","0","1",0,0,0,0,0,0,0,1,1,0,1,1,0,2,6,240,3,NA,1,44,NA,NA,NA,NA,NA,5,15,790,10,4,8,544,6,NA,NA,NA,NA
"505",2186,"Attaquant",7,"France","2007-07-23T00:00:00.000Z","aucun","aucun",0,0.00088,15.75,2,"1","0","0",0,0.00088,15.75,2,"1","0","0",0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0.00088,15.75,2,"1","0","0",0,0.00088,15.75,2,"1","0","0",0,0.00088,15.75,2,"1","0","0",0,0.00088,15.75,2,"1","0","0",0,0.00088,15.75,2,"1","0","0",0,0,0,0,0,0,0,1,0,0,0,0,0,3,14,731,8,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
