"","ID_INDIVIDU","POSTE","MOIS_NAISSANCE","NATIONALITE","DATE_NAISSANCE","CF_AGREE","POLE_ESPOIR","exp_avant_16","NB_BUT_PAR_MIN_JOUE_PAR_SAISON_AVANT_16","NB_MIN_JOUE_PAR_MATCH_PAR_SAISON_AVANT_16","NB_CLUB_AVANT_16","TOP_50_AVANT_16","TOP_50_150_AVANT_16","top_restant_AVANT_16","exp_avant_17","NB_BUT_PAR_MIN_JOUE_PAR_SAISON_AVANT_17","NB_MIN_JOUE_PAR_MATCH_PAR_SAISON_AVANT_17","NB_CLUB_AVANT_17","TOP_50_AVANT_17","TOP_50_150_AVANT_17","top_restant_AVANT_17","exp_avant_18","IN_NO_F2K","Anthropometrie","Detente_horizontale","Vitesse_lineaire","Vivacite","Jeux_reduits","Match","Conduite_de_balle","Gardiens_de_but","Jonglerie_en_mouvement","Vitesse_max_aerobie","NB_BUT_PAR_MIN_JOUE_PAR_SAISON_AVANT_18","NB_MIN_JOUE_PAR_MATCH_PAR_SAISON_AVANT_18","NB_CLUB_AVANT_18","TOP_50_AVANT_18","TOP_50_150_AVANT_18","top_restant_AVANT_18","exp_avant_19","NB_BUT_PAR_MIN_JOUE_PAR_SAISON_AVANT_19","NB_MIN_JOUE_PAR_MATCH_PAR_SAISON_AVANT_19","NB_CLUB_AVANT_19","TOP_50_AVANT_19","TOP_50_150_AVANT_19","top_restant_AVANT_19","exp_avant_20","NB_BUT_PAR_MIN_JOUE_PAR_SAISON_AVANT_20","NB_MIN_JOUE_PAR_MATCH_PAR_SAISON_AVANT_20","NB_CLUB_AVANT_20","TOP_50_AVANT_20","TOP_50_150_AVANT_20","top_restant_AVANT_20","exp_avant_21","NB_BUT_PAR_MIN_JOUE_PAR_SAISON_AVANT_21","NB_MIN_JOUE_PAR_MATCH_PAR_SAISON_AVANT_21","NB_CLUB_AVANT_21","TOP_50_AVANT_21","TOP_50_150_AVANT_21","top_restant_AVANT_21","exp","NB_BUT_PAR_MIN_JOUE_PAR_SAISON","NB_MIN_JOUE_PAR_MATCH_PAR_SAISON","NB_CLUB","TOP_50","TOP_50_150","top_restant","NB_PALMARES_AVANT_16","NB_PALMARES_AVANT_17","NB_PALMARES_AVANT_18","NB_PALMARES_AVANT_19","NB_PALMARES_AVANT_20","NB_PALMARES_AVANT_21","NB_PALMARES","France U16","France U17","France U18","France U19","France U20","France U21","U16_NB_BUT","U16_NB_MATCH_JOUE","U16_NB_MIN_JOUE","U16_TITULARISATION","U17_NB_BUT","U17_NB_MATCH_JOUE","U17_NB_MIN_JOUE","U17_TITULARISATION","U18_NB_BUT","U18_NB_MATCH_JOUE","U18_NB_MIN_JOUE","U18_TITULARISATION","U19_NB_BUT","U19_NB_MATCH_JOUE","U19_NB_MIN_JOUE","U19_TITULARISATION","U20_NB_BUT","U20_NB_MATCH_JOUE","U20_NB_MIN_JOUE","U20_TITULARISATION","U21_NB_BUT","U21_NB_MATCH_JOUE","U21_NB_MIN_JOUE","U21_TITULARISATION"
"1",7,"Gardien de But",5,"France","1998-05-13T00:00:00.000Z","aucun","aucun",0,NA,NA,NA,"inconnu","inconnu","inconnu",1,0,46.67,1,"1","0","0",1,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0,15.39,2,"1","0","0",1,0,8.58,3,"1","0","0",1,0,5.55,3,"1","0","0",1,0,10.14,4,"1","0","1",1,0,8.28,6,"1","0","1",0,2,3,3,3,3,3,1,1,1,1,1,0,NA,3,220,3,NA,14,1211,14,NA,6,540,6,NA,6,540,6,NA,1,90,1,NA,NA,NA,NA
"2",14,"Defenseur",10,"France","2001-10-04T00:00:00.000Z","aucun","aucun",0,0.00013,37.92,1,"1","0","0",0,0.00012,23,2,"1","0","0",1,2545109818,18.36,16.32,16.32,16.32,16.32,16.32,15.3,15.3,15.3,NA,8e-05,15.25,4,"1","1","0",1,6e-05,10.83,5,"1","1","0",1,1e-04,8.64,7,"1","1","1",1,7e-05,7.6,8,"1","1","1",1,6e-05,7.3,8,"1","1","1",0,0,0,0,0,0,0,0,0,1,1,0,0,NA,NA,NA,NA,NA,NA,NA,NA,NA,5,362,4,1,15,1104,12,NA,NA,NA,NA,NA,NA,NA,NA
"3",26,"Defenseur",11,"France","2000-11-06T00:00:00.000Z","CFM - CENTRE DE FORMATION O. DE LYON ET DU RHONE","aucun",0,0.00033,35.62,2,"1","0","0",0,0.00012,20.86,2,"1","0","0",0,2544005232,18.48,18.48,18.48,18.48,18.48,18.48,NA,NA,NA,NA,9e-05,16.76,3,"1","0","0",0,6e-05,14.02,3,"1","0","0",0,4e-05,9.46,3,"1","0","0",0,6e-05,8.71,4,"1","1","0",0,3e-05,7.22,4,"1","1","0",0,0,0,0,0,0,0,0,0,1,1,1,1,NA,NA,NA,NA,NA,NA,NA,NA,NA,6,450,5,NA,4,286,3,NA,2,180,2,NA,3,99,1
"4",27,"Defenseur",7,"France","2002-07-16T00:00:00.000Z","aucun","PEM - PEM CASTELMAUROU",0,0,23.48,2,"0","0","1",0,0,17.04,2,"0","0","1",0,2545087277,14.38,12.12,10.51,12.12,13.99,13.99,10.51,12.12,12.12,14.38,0,14.05,3,"0","0","1",0,0,11.91,3,"0","0","1",0,0,10.28,3,"0","0","1",0,0,8.93,4,"0","0","1",0,0,8.93,4,"0","0","1",0,0,0,0,0,0,0,1,0,0,0,0,0,NA,2,78,1,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"5",28,"Defenseur",11,"France","1999-11-02T00:00:00.000Z","CFM - CENTRE DE FORMATION ST. RENNAIS F.C.","aucun",0,NA,NA,NA,"inconnu","inconnu","inconnu",0,0.00048,76.63,1,"1","0","0",0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0.00011,39.77,1,"1","0","0",0,0.00017,25.24,1,"1","0","0",0,9e-05,19.36,2,"1","0","1",0,9e-05,13.63,3,"1","0","1",0,4e-05,8.95,3,"1","0","1",0,0,0,0,0,0,0,0,0,0,1,1,0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,1,1,NA,NA,5,384,4,NA,NA,NA,NA
"6",29,"Milieu",12,"Algérie","2004-12-08T00:00:00.000Z","CFM - LOSC LILLE ASSOCIATION","aucun",0,0.00038,14.46,1,"1","0","0",0,0.00037,11.79,2,"1","1","0",0,2545913325,13.27,13.34,13.36,13.34,14.27,14.27,13.36,13.34,13.34,13.27,0.00034,9.35,2,"1","1","0",0,0.00029,7.16,3,"1","1","1",0,0.00029,7.16,3,"1","1","1",0,0.00029,7.16,3,"1","1","1",0,0.00029,7.16,3,"1","1","1",0,0,0,0,0,0,0,1,0,1,1,0,0,NA,8,459,6,NA,NA,NA,NA,3,12,713,8,NA,3,163,2,NA,NA,NA,NA,NA,NA,NA,NA
"7",38,"Defenseur",2,"France","1998-02-01T00:00:00.000Z","aucun","aucun",0,NA,NA,NA,"inconnu","inconnu","inconnu",0,NA,NA,NA,"inconnu","inconnu","inconnu",0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0,81.27,1,"0","0","1",0,0,37.85,1,"0","0","1",0,0.00021,22.92,1,"0","0","1",0,2e-04,18.13,2,"0","0","1",1,2e-04,18.13,2,"0","0","1",0,0,0,0,0,0,0,1,1,1,0,0,0,NA,6,480,6,NA,3,181,2,NA,3,107,1,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"8",51,"Attaquant",11,"France","2004-11-28T00:00:00.000Z","aucun","aucun",0,0.00069,15.02,1,"1","0","0",0,0.00118,12.82,1,"1","0","0",0,2545969716,NA,13.78,13.78,13.78,13.78,13.78,13.78,13.78,13.78,NA,0.00079,9.85,2,"1","0","0",1,0.00061,8.69,3,"1","0","1",1,0.00061,8.69,3,"1","0","1",1,0.00061,8.69,3,"1","0","1",1,0.00061,8.69,3,"1","0","1",0,0,0,0,0,0,0,1,0,1,1,1,-1,NA,2,73,1,NA,NA,NA,NA,NA,2,96,1,1,9,407,5,1,5,321,4,NA,1,17,NA
"9",57,"Attaquant",10,"France","1997-10-28T00:00:00.000Z","CFM - ACADEMY AS MONACO FC","PEM - PEM REIMS",0,NA,NA,NA,"inconnu","inconnu","inconnu",1,0,6.2,1,"0","0","0",1,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0.00781,4.57,2,"0","1","0",1,0.00145,14.4,2,"0","1","0",1,0.00199,7.03,3,"1","1","0",1,0.00103,6.72,3,"1","1","0",1,0.00051,4.57,6,"1","1","1",0,0,0,1,1,1,1,0,1,1,1,0,0,NA,NA,NA,NA,NA,5,308,4,NA,3,134,1,NA,3,122,1,NA,NA,NA,NA,NA,NA,NA,NA
"10",59,"Attaquant",1,"France","2001-01-14T00:00:00.000Z","CFM - CENTRE DE FORMATION ST. RENNAIS F.C.","aucun",0,0.00069,24.06,2,"1","0","0",0,6e-04,17.25,2,"1","0","0",0,2547958140,NA,18.75,18.75,18.75,18,18,18.75,18.75,18.75,NA,0.00054,11.71,3,"1","0","0",0,0.00042,8.14,3,"1","0","0",1,0.00033,7.26,4,"1","1","0",1,0.00029,6.19,5,"1","1","0",1,0.00023,5.87,6,"1","1","0",1,2,3,3,3,3,3,1,1,1,0,0,0,5,12,754,8,1,12,782,9,NA,3,192,2,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"11",63,"Milieu",5,"France","1997-05-04T00:00:00.000Z","CFM - CENTRE DE FORMATION F.C. SOCHAUX MONTBELIARD","PEM - PEM CASTELMAUROU",0,NA,NA,NA,"inconnu","inconnu","inconnu",0,NA,NA,NA,"inconnu","inconnu","inconnu",0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0,63,1,"0","0","1",0,0,35.9,1,"0","0","1",0,8e-05,26.4,2,"0","0","1",0,4e-05,20.81,3,"0","0","1",0,5e-05,9.34,10,"1","0","1",0,0,0,0,0,0,0,0,1,0,0,0,0,NA,NA,NA,NA,NA,3,146,1,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"12",66,"Defenseur",4,"France","1999-04-01T00:00:00.000Z","aucun","aucun",0,NA,NA,NA,"inconnu","inconnu","inconnu",0,0,73.14,2,"1","0","0",0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0,38.39,3,"1","0","1",0,0,38.39,3,"1","0","1",0,0,24.76,4,"1","0","1",0,0,24.76,4,"1","0","1",0,0,18.68,4,"1","0","1",0,0,0,0,0,0,0,1,0,0,0,0,0,NA,2,139,1,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"13",75,"Milieu",4,"France","1997-04-29T00:00:00.000Z","CFM - CENTRE DE FORMATION VALENCIENNES F.C.","PEM - PEM CASTELMAUROU",0,NA,NA,NA,"inconnu","inconnu","inconnu",0,NA,NA,NA,"inconnu","inconnu","inconnu",0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0.00077,61.62,2,"1","0","0",0,0.00043,34.89,2,"1","0","0",0,1e-04,26.55,2,"1","0","0",0,8e-05,17.68,2,"1","0","0",1,8e-05,8.31,4,"1","1","1",0,0,0,1,1,1,1,0,0,0,1,1,1,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,21,1453,15,2,7,469,5,NA,24,1968,24
"14",77,"Milieu",6,"France","2000-06-12T00:00:00.000Z","CFM - CENTRE DE FORMATION PARIS F.C.","PEM - PEM REIMS",0,0,42.23,3,"1","0","1",0,0,24.1,3,"1","0","1",0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0,24.1,3,"1","0","1",0,0,24.1,3,"1","0","1",0,0,24.1,3,"1","0","1",0,0,18.9,5,"1","0","1",1,0,12.58,7,"1","1","1",0,0,0,0,0,0,0,0,0,1,0,0,0,NA,NA,NA,NA,NA,NA,NA,NA,NA,2,135,2,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"15",78,"Defenseur",2,"France","1983-02-14T00:00:00.000Z","CFM - CENTRE DE FORMATION A.J. AUXERROISE","aucun",0,NA,NA,NA,"inconnu","inconnu","inconnu",0,NA,NA,NA,"inconnu","inconnu","inconnu",0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"inconnu","inconnu","inconnu",0,NA,NA,NA,"inconnu","inconnu","inconnu",0,NA,NA,NA,"inconnu","inconnu","inconnu",0,NA,NA,NA,"inconnu","inconnu","inconnu",1,2e-05,5.49,4,"1","0","1",0,0,0,0,0,0,4,0,0,0,0,0,1,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,12,968,10
"16",80,"Gardien de But",2,"France","2002-02-05T00:00:00.000Z","aucun","aucun",0,0,21.34,2,"0","0","0",0,0,15.22,2,"0","0","0",0,2544992411,NA,16.16,16.16,16.16,15.93,15.93,16.16,15.84,15.84,NA,0,12.02,4,"0","0","0",0,0,10.54,5,"0","0","1",0,0,8.45,6,"0","0","1",0,0,8.45,6,"0","0","1",0,0,8.45,6,"0","0","1",0,0,0,0,0,0,0,1,0,0,0,0,0,NA,1,90,1,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"17",86,"Milieu",6,"Sénégal","1992-06-23T00:00:00.000Z","CFM - ACADEMY AS MONACO FC","PEM - PEM AIX EN PROVENCE",0,NA,NA,NA,"inconnu","inconnu","inconnu",0,NA,NA,NA,"inconnu","inconnu","inconnu",0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"inconnu","inconnu","inconnu",0,NA,NA,NA,"inconnu","inconnu","inconnu",0,NA,NA,NA,"inconnu","inconnu","inconnu",0,0,65,1,"0","1","0",1,1e-05,5.69,5,"0","1","1",0,0,0,0,0,1,1,0,0,1,1,1,1,NA,NA,NA,NA,NA,NA,NA,NA,NA,3,270,3,NA,8,720,8,NA,13,991,11,NA,4,189,2
"18",89,"Attaquant",2,"France","2000-02-02T00:00:00.000Z","CFM - CENTRE DE FORMATION MONTPELLIER HERAULT SP.C.","aucun",0,6e-04,83.45,1,"0","0","0",0,0.00049,35.28,2,"0","0","0",0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0.00058,25.18,3,"0","0","0",0,0.00045,17.92,4,"0","0","1",0,0.00038,13.1,4,"0","0","1",0,0.00031,10.57,5,"0","0","1",0,0.00025,9.04,7,"0","0","1",0,0,0,0,0,0,0,0,0,1,0,0,0,NA,NA,NA,NA,NA,NA,NA,NA,1,3,57,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"19",97,"Milieu",12,"France","1997-12-31T00:00:00.000Z","CFM - CENTRE DE FORMATION EN AVANT GUINGAMP","aucun",0,NA,NA,NA,"inconnu","inconnu","inconnu",0,NA,NA,NA,"inconnu","inconnu","inconnu",0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"inconnu","inconnu","inconnu",0,0,66.2,1,"0","0","0",0,0.00068,26.18,1,"0","0","0",0,0.00035,19,1,"0","0","0",0,0.00035,8.59,3,"1","1","0",0,0,0,1,1,1,1,0,1,0,1,1,0,NA,NA,NA,NA,NA,1,90,1,NA,NA,NA,NA,3,11,628,8,1,14,906,12,NA,NA,NA,NA
"20",100,"Attaquant",2,"France","2002-02-15T00:00:00.000Z","CFM - LOSC LILLE ASSOCIATION","PEM - PEM LIEVIN",0,0.00013,25.57,2,"1","0","0",0,0.00024,18.95,3,"1","0","0",0,2544440931,15.24,14.76,13.92,14.76,14.76,14.76,13.84,14.84,14.84,16.16,0.00029,13.62,4,"1","0","1",0,0.00028,10.41,4,"1","0","1",0,0.00032,9.37,5,"1","0","1",0,3e-04,8,6,"1","0","1",0,3e-04,8,6,"1","0","1",0,0,0,0,0,0,0,0,0,0,0,1,0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,2,27,NA,NA,NA,NA,NA
"21",104,"Milieu",8,"France","1998-08-29T00:00:00.000Z","CFM - CENTRE DE FORMATION O. DE MARSEILLE - O.M.","aucun",0,NA,NA,NA,"inconnu","inconnu","inconnu",0,0.00151,88.27,1,"1","0","0",1,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0.00056,31.68,3,"1","0","1",1,0.00022,19.82,3,"1","0","1",1,0.00051,14.94,4,"1","0","1",1,0.00034,12.54,4,"1","0","1",1,0.00023,7.41,6,"1","0","1",0,2,2,2,2,2,2,0,1,1,1,1,0,NA,NA,NA,NA,NA,15,898,12,3,9,589,8,2,12,772,8,NA,1,86,1,NA,NA,NA,NA
"22",111,"Milieu",1,"France","2003-01-25T00:00:00.000Z","CFM - CENTRE DE FORMATION ANGERS S.C.O.","aucun",0,0.00019,18.62,1,"0","0","1",0,0.00014,14.97,1,"0","0","1",0,2545609425,15.62,13.52,14.56,13.52,14.48,14.48,14.56,13.51,13.52,13.07,0.00014,12.52,2,"0","0","1",0,0.00012,10.38,2,"0","0","1",0,1e-04,8.66,2,"0","0","1",0,1e-04,8.66,2,"0","0","1",0,1e-04,8.66,2,"0","0","1",0,0,0,0,0,0,0,1,0,0,0,0,0,NA,4,151,2,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"23",128,"Milieu",8,"France","2001-08-29T00:00:00.000Z","CFM - CENTRE DE FORMATION F.C. DES GIRONDINS DE BORDEAUX","aucun",0,0,30.2,1,"0","0","1",0,0,19,1,"0","0","1",0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0,14.65,1,"0","0","1",1,4e-05,9.5,2,"0","0","1",1,4e-05,6.16,2,"0","0","1",1,8e-05,5.59,3,"0","0","1",1,8e-05,5.59,3,"0","0","1",0,0,0,0,0,0,0,0,0,0,1,0,0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,1,1,90,1,NA,NA,NA,NA,NA,NA,NA,NA
"24",130,"Attaquant",1,"France","1999-01-30T00:00:00.000Z","CFM - CENTRE DE FORMATION R.C. LENSOIS","aucun",1,NA,NA,1,"1","0","0",1,0,0,2,"1","0","0",1,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0.00556,2.5,3,"1","0","0",1,0.00395,1.47,4,"1","0","0",1,0.00223,1.33,4,"1","0","0",1,0.00179,1.11,5,"1","0","1",1,0.00033,3.4,7,"1","1","1",0,0,0,0,0,0,0,1,1,1,1,1,0,5,11,678,8,2,13,670,6,NA,2,21,NA,NA,7,284,3,NA,1,90,1,NA,NA,NA,NA
"25",134,"Defenseur",4,"France","2000-04-30T00:00:00.000Z","CFM - CENTRE DE FORMATION R.C. LENSOIS","aucun",0,0,85.8,1,"0","1","0",0,0,38.07,1,"0","1","0",1,2543938203,NA,16.51,16.51,16.51,NA,NA,16.51,16.51,16.51,NA,0,25.58,2,"0","1","1",1,0,25.58,2,"0","1","1",1,0,19.26,3,"0","1","1",1,7e-05,15.63,4,"0","1","1",1,7e-05,15.63,4,"0","1","1",0,0,0,0,0,0,0,1,1,1,1,0,0,NA,1,90,1,NA,13,1143,13,NA,7,625,7,NA,2,115,1,NA,NA,NA,NA,NA,NA,NA,NA
"26",137,"Defenseur",10,"France","2004-10-18T00:00:00.000Z","CFM - CENTRE DE FORMATION F.C. LORIENT","aucun",0,0.00028,17.47,3,"0","0","1",0,0.00026,12.58,3,"0","0","1",0,2546615948,10.97,12.09,12.83,12.09,NA,NA,12.83,12.09,12.09,10.97,0.00025,10.51,4,"0","1","1",0,0.00021,9.05,4,"0","1","1",0,0.00021,9.05,4,"0","1","1",0,0.00021,9.05,4,"0","1","1",0,0.00021,9.05,4,"0","1","1",0,0,0,0,0,0,0,0,0,1,1,0,0,NA,NA,NA,NA,NA,NA,NA,NA,NA,4,130,1,NA,2,96,1,NA,NA,NA,NA,NA,NA,NA,NA
"27",139,"Gardien de But",7,"France","2005-07-09T00:00:00.000Z","CFM - CENTRE DE FORMATION O. DE LYON ET DU RHONE","aucun",0,0,15.88,3,"1","0","0",0,0,12.65,3,"1","0","0",0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0,10.45,3,"1","0","0",0,0,10.45,3,"1","0","0",0,0,10.45,3,"1","0","0",0,0,10.45,3,"1","0","0",0,0,10.45,3,"1","0","0",0,0,0,0,0,0,0,0,1,1,1,-1,-1,NA,NA,NA,NA,NA,1,90,1,NA,6,540,6,NA,5,345,5,NA,NA,NA,NA,NA,NA,NA,NA
"28",148,"Milieu",7,"France","2001-07-07T00:00:00.000Z","CFM - ACADEMY AS MONACO FC","aucun",1,0,28.16,2,"0","1","0",1,0,19.97,2,"0","1","0",1,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0,16.3,3,"0","1","0",1,0,12.63,3,"0","1","0",1,0,10.91,3,"0","1","0",1,0,9.39,4,"0","1","0",1,0,8.11,5,"0","1","1",0,0,0,0,0,0,0,0,1,1,1,0,1,NA,NA,NA,NA,NA,3,87,1,NA,13,758,10,NA,6,333,4,NA,NA,NA,NA,NA,2,99,1
"29",151,"Defenseur",3,"France","2002-03-20T00:00:00.000Z","aucun","aucun",0,5e-05,29.36,2,"0","0","1",0,1e-04,21.17,3,"0","1","1",0,2548340089,10.46,10.63,10.63,10.63,10.63,10.63,10.71,10.71,10.71,NA,1e-04,16.66,3,"0","1","1",0,7e-05,13.47,3,"0","1","1",0,6e-05,11.52,3,"0","1","1",1,5e-05,10.08,4,"1","1","1",1,5e-05,10.08,4,"1","1","1",0,0,0,0,0,0,0,0,1,0,0,0,0,NA,NA,NA,NA,NA,3,159,2,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"30",158,"Attaquant",5,"Congo","1998-05-28T00:00:00.000Z","CFM - CENTRE DE FORMATION AS NANCY LORRAINE","aucun",0,NA,NA,NA,"inconnu","inconnu","inconnu",0,NA,NA,NA,"inconnu","inconnu","inconnu",0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0.00176,75.77,1,"0","0","0",0,0.00177,37.74,1,"0","0","0",0,0.00106,21.68,2,"0","1","0",0,0.00079,16.05,2,"0","1","0",0,0.00048,7.92,4,"1","1","1",0,1,2,2,2,2,2,0,0,1,0,0,0,NA,NA,NA,NA,NA,NA,NA,NA,NA,5,195,2,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"31",162,"Gardien de But",3,"France","2002-03-24T00:00:00.000Z","CFM - CENTRE DE FORMATION A.S. ST ETIENNE","PEM - PEM CLAIREFONTAINE",0,0,23.47,2,"0","0","1",0,0,17.28,2,"0","0","1",0,2545662278,6.77,12.08,14.74,12.08,14.74,14.74,14.74,12.08,12.08,6.77,0,13.41,2,"0","0","1",0,0,10.92,2,"0","0","1",0,0,10.92,2,"0","0","1",0,0,10.92,2,"0","0","1",1,0,10.92,2,"0","0","1",0,0,0,0,0,0,0,1,0,0,0,0,0,NA,4,360,4,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"32",164,"Milieu",3,"France","2005-03-29T00:00:00.000Z","CFM - CENTRE DE FORMATION ST DE REIMS","aucun",0,6e-05,15.91,2,"1","0","0",0,4e-05,12.66,2,"1","0","0",0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,3e-05,10.68,3,"1","0","1",0,3e-05,10.68,3,"1","0","1",0,3e-05,10.68,3,"1","0","1",0,3e-05,10.68,3,"1","0","1",0,3e-05,10.68,3,"1","0","1",0,0,0,0,0,0,0,0,1,0,0,0,0,NA,NA,NA,NA,NA,2,81,1,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"33",165,"Defenseur",2,"France","1990-02-07T00:00:00.000Z","CFM - CENTRE DE FORMATION F.C. DES GIRONDINS DE BORDEAUX","aucun",0,NA,NA,NA,"inconnu","inconnu","inconnu",0,NA,NA,NA,"inconnu","inconnu","inconnu",0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"inconnu","inconnu","inconnu",0,NA,NA,NA,"inconnu","inconnu","inconnu",0,NA,NA,NA,"inconnu","inconnu","inconnu",0,NA,NA,NA,"inconnu","inconnu","inconnu",1,3e-05,16.29,2,"0","0","1",0,0,0,0,0,0,0,0,0,0,1,1,0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,1,NA,NA,NA,NA,2,180,2,NA,NA,NA,NA
"34",167,"Milieu",3,"France","2004-03-26T00:00:00.000Z","CFM - CENTRE DE FORMATION ST. RENNAIS F.C.","aucun",0,0.00012,14.78,2,"1","0","0",0,0.00015,9.05,2,"1","0","0",0,2545950336,11.4,12.54,13.3,12.54,NA,NA,13.3,12.54,12.54,11.4,9e-05,7.32,2,"1","0","0",1,7e-05,6.4,3,"1","0","0",1,7e-05,6.4,3,"1","0","0",1,7e-05,6.4,3,"1","0","0",1,7e-05,6.4,3,"1","0","0",0,0,0,0,0,0,0,0,0,1,1,0,1,NA,NA,NA,NA,NA,NA,NA,NA,1,9,482,5,2,9,499,6,NA,NA,NA,NA,NA,6,490,6
"35",178,"Milieu",3,"France","2000-03-08T00:00:00.000Z","CFM - CENTRE DE FORMATION F.C. NANTES","aucun",0,0.00051,85.43,1,"0","1","0",0,0.00011,44.58,1,"0","1","0",0,2543913891,NA,14.17,14.17,14.17,18.43,18.43,10.69,10.69,10.69,NA,5e-05,30.41,1,"0","1","0",0,3e-05,21.7,1,"0","1","0",0,5e-05,17.22,1,"0","1","0",0,5e-05,14.43,1,"0","1","0",0,3e-05,10.69,2,"0","1","0",0,0,0,0,0,0,0,1,0,0,0,0,0,NA,6,274,3,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"36",181,"Attaquant",2,"France","2006-02-12T00:00:00.000Z","CFM - CENTRE DE FORMATION ST. RENNAIS F.C.","aucun",0,0.00051,11.17,3,"1","0","0",0,0.00041,9.79,3,"1","0","0",0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0.00041,9.79,3,"1","0","0",0,0.00041,9.79,3,"1","0","0",0,0.00041,9.79,3,"1","0","0",0,0.00041,9.79,3,"1","0","0",0,0.00041,9.79,3,"1","0","0",0,0,0,0,0,0,0,1,0,0,0,0,0,1,5,201,2,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"37",185,"Defenseur",6,"France","1999-06-03T00:00:00.000Z","aucun","aucun",0,NA,0,1,"1","0","0",1,0,37.04,2,"1","0","0",1,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0.00016,22.48,2,"1","0","0",1,0.00019,18.11,2,"1","0","0",1,0.00018,14.16,2,"1","0","0",1,0.00014,10.92,2,"1","0","0",1,6e-05,7.64,4,"1","0","1",1,3,3,3,3,3,3,1,1,1,1,1,1,2,13,934,9,NA,10,855,10,NA,9,775,9,NA,6,452,6,1,7,565,7,2,6,462,5
