,feature,importance
23,France U16,0.046413502109704664
0,POSTE,0.04135021097046415
22,top_restant_AVANT_19,0.03164556962025318
20,TOP_50_AVANT_19,0.027848101265822787
21,TOP_50_150_AVANT_19,0.024472573839662448
