,feature,importance
25,U16_NB_MATCH_JOUE,0.037410071942446076
26,U16_NB_MIN_JOUE,0.034532374100719444
18,NB_MIN_JOUE_PAR_MATCH_PAR_SAISON_AVANT_16,0.03093525179856118
19,NB_CLUB_AVANT_16,0.026618705035971246
16,Vitesse_max_aerobie,0.023741007194244622
