,feature,importance
5,NB_PALMARES_AVANT_19,0.037719298245614076
18,NB_MIN_JOUE_PAR_MATCH_PAR_SAISON_AVANT_19,0.03596491228070179
42,U19_TITULARISATION,0.028070175438596523
41,U19_NB_MIN_JOUE,0.025438596491228104
22,top_restant_AVANT_19,0.024561403508771985
